Resume,Interests,Skills,Masters,UG_Specialization,Career_Path
"Research;Teaching;Technology;Data analytics Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS  Structural Engineeeing  Assistant Professor No Master in Structural Engineering",Research;Teaching;Technology;Data analytics,"Active Listening;Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;Proeficiency in Software like STAAD PRO, ETABS ",Master in Structural Engineering,Structural Engineeeing ,Civil Engineer
Teaching;Technology;Industires Hardware skills Mining Mine Engineer No Mine Engineer,Teaching;Technology;Industires,Hardware skills,Mine Engineer,Mining,Software Developer
Financial Analysis;Research;Sales/Marketing;Technology;Data analytics Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL;Cloud Computing;HR Computer Science Engineering  No,Financial Analysis;Research;Sales/Marketing;Technology;Data analytics,Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL;Cloud Computing;HR,,Computer Science Engineering,Data Scientist
"Technology;All fields related to Data science.;Industires;Information Technology Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX) Mechanical Engineering Mechanical Design Engineer ANSYS",Technology;All fields related to Data science.;Industires;Information Technology,"Proeficiency in Software like STAAD PRO, ETABS;CAD/CAE(autocad/catia/ansys/proE/SeimensNX)",,Mechanical Engineering,Mechanical Engineer
Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management Accountancy  Finance Manager No M. Com,Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,M. Com,Accountancy ,Sales & Marketing Executive
Technology;Service Programming Language skills;Communication skills;Writing skills;Machine Learning skills;Sales;C++;R C language  No,Technology;Service,Programming Language skills;Communication skills;Writing skills;Machine Learning skills;Sales;C++;R,,C language,Machine Learning Engineer
"Teaching Active Listening;Teaching C,c++, java Teaching No MCA",Teaching,Active Listening;Teaching,MCA,"C,c++, java",Academic / Teacher
Market reserach Business Knowledge;Civil & Criminal Law;Product knowledge Civil Engineering National Head  No,Market reserach,Business Knowledge;Civil & Criminal Law;Product knowledge,,Civil Engineering,Civil Engineer
"Design Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python Mechanical Engineering Field Engineer CATIA,AUTOCAD,PRO E",Design,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;Python,,Mechanical Engineering,Civil Engineer
"Financial Analysis Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services Management Investment Banking Associate Equity Derivatives;Advanced Financial Statements Analysis;
Financial Modelling;
Integrated Mangement and Safety;
Pricing and Valuation of Fixed Income Instruments",Financial Analysis,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;Financial Services,,Management,Sales & Marketing Executive
"Financial Analysis, Sales/Marketing, Technology, Entrepreneurship Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble Automobile Engineering Sales Executive Six Sigma, digital marketing. Masters in Business Administration","Financial Analysis, Sales/Marketing, Technology, Entrepreneurship","Business Knowledge, People Management, Communication Skills, Work under Pressure, Leadership, Market Study, Team work, Interpersonal Skills, Presentation Skills, Designing Skills, Sales, Design and analysis of automobile components, vehicle maintenance and reconditioning, design for manufacturer and assemble",Masters in Business Administration,Automobile Engineering,Sales & Marketing Executive
"Embedded design Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT Electronics and Communication Engineering VLSI Digital Design JAVA,Embedded and IOT ME in VLSI design",Embedded design,"Creativity Skills, Excel, Logical Skills, Observation Skills, Risk Managing, Designing Skills, Vlsi design,simulation,embedded,IOT",ME in VLSI design,Electronics and Communication Engineering,Electrical Engineer
"Research Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++ Computer Science Engineering Production manager No MRes in Printed Electronics",Research,"Python, Critical Thinking, Analytic Thinking, Java, SQL, Programming, Communication Skills, Negotiation Skills, Creativity Skills, Excel, Logical Skills, Interpersonal Skills, Presentation Skills, C++",MRes in Printed Electronics,Computer Science Engineering,Data Scientist
Technology NO Electronics and Communication Engineering Software Developer No,Technology,NO,,Electronics and Communication Engineering,Software Developer
Sales/Marketing Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills Sales and marketing Life insurance No Masters in marketing and HR,Sales/Marketing,Active Listening;Business Knowledge;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Sales;Interpersonal skills,Masters in marketing and HR,Sales and marketing,Sales & Marketing Executive
Sales/Marketing Business Knowledge Economics  No M.Com,Sales/Marketing,Business Knowledge,M.Com,Economics,Sales & Marketing Executive
Software Job NO Computer Science Engineering Developer No,Software Job,NO,,Computer Science Engineering,Software Developer
Financial Analysis;Technology;Trading;Data analytics Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL Computer Science Engineering Full stack developer  No,Financial Analysis;Technology;Trading;Data analytics,Business Knowledge;Analytical Skills;Negotiation skills;Problem Solving skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;SQL,,Computer Science Engineering,Data Scientist
Trading Active Listening;Business Knowledge;Risk management skills;Sales;Good communication skills Mechanical Engineering  No,Trading,Active Listening;Business Knowledge;Risk management skills;Sales;Good communication skills,,Mechanical Engineering,Mechanical Engineer
Financial Analysis;Technology;Web Designing;Web development;Social causes Accounting Skills;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Problem Solving skills;C++;Python;SQL Computer science and business system  Cpp with ds,Financial Analysis;Technology;Web Designing;Web development;Social causes,Accounting Skills;Programming Language skills;Critical Thinking;Business Knowledge;Analytical Skills;Finance related skills;Communication skills;Problem Solving skills;C++;Python;SQL,,Computer science and business system,Data Scientist
"Research Active Listening, Creativity Skills, Team work, Logical Skills Pharmacy Process analyst No Masters in Pharmacy",Research,"Active Listening, Creativity Skills, Team work, Logical Skills",Masters in Pharmacy,Pharmacy,Biotech/Pharma Associate
"Financial Analysis Accounting Skills, Cost Accounting Commerce Housewife Tax and law",Financial Analysis,"Accounting Skills, Cost Accounting",,Commerce,Finance Analyst
Home interior design Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture Interior design Junior interior designer  No,Home interior design,Programming Language skills;People management;Mass Communication;Leadership;Designing skills;Writing skills;Architecture,,Interior design,Management Professional
"Take risk for Profits Business Knowledge, Product Knowledge, Team work, Sales Commerce Tele-caller No Masters in Computer Applications",Take risk for Profits,"Business Knowledge, Product Knowledge, Team work, Sales",Masters in Computer Applications,Commerce,Product Manager
"Entrepreneurship Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing Information Technology HR Digital marketing  Masters in Business Administration",Entrepreneurship,"Gathering Informing, People Management, Communication Skills, Work under Pressure, Leadership, Team work, Interpersonal Skills, Mass Communication, Observation Skills, Risk Managing",Masters in Business Administration,Information Technology,Sales & Marketing Executive
Government jobs Sports Chemistry Pc No Msc,Government jobs,Sports,Msc,Chemistry,Civil Services (IAS/IPS/IFS)
"Technology AI, ML, Python, Java, SQL, Tableau Computer Applications Student (Unemployed) Udemy Masters in Computer Applications",Technology,"AI, ML, Python, Java, SQL, Tableau",Masters in Computer Applications,Computer Applications,Data Scientist
"Research, Take risk for Profits, Understand Human Behaviour Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills Automobile Engineering Design engineer No","Research, Take risk for Profits, Understand Human Behaviour","Critical Thinking, Analytic Thinking, Product Knowledge, Team work, Excel, Observation Skills, Risk Managing, Reporting, Reading, Designing Skills",,Automobile Engineering,Product Manager
"Information Technology,Blockchain 
Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2 Electrical and Electronics Engineering DevOps Engineer Creating Routing Policies to Handle Website Traffic Using AWS Route53;Kubernetes","Information Technology,Blockchain","
Docker;Kubernetes;Amazon Web Services (AWS);Bash;Apache;
New Relic APM;Jenkins;Internet Information Services (IIS);Terraform;AKS;Continuous Integration and Continuous Delivery (CI/CD);Amazon EC2",,Electrical and Electronics Engineering,Cloud/DevOps Engineer
"Software Job Full stack, java, python, reactjs Computer Science Engineering Software developer Full stack, java, python, reactjs",Software Job,"Full stack, java, python, reactjs",,Computer Science Engineering,Software Developer
Supply Chain Analysis;Data scientist;Machine Learning;Excel Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python Mechanical Engineering Production Engineer Data science,Supply Chain Analysis;Data scientist;Machine Learning;Excel,Active Listening;Analytical Skills;Negotiation skills;Product knowledge;Problem Solving skills;Risk management skills;Machine Learning skills;Python,,Mechanical Engineering,Data Scientist
"Software Job Web development (PHP, codeigniter), java development, graphic desiging, Android app development Computer Science Engineering Software engineer 1 Web development (PHP, codeigniter), java development, graphic desiging, Android app development",Software Job,"Web development (PHP, codeigniter), java development, graphic desiging, Android app development",,Computer Science Engineering,Mobile App Developer
Trading;Data analytics;Govt. Job;Data scientist Data Visualization skills( Power Bi/ Tableau );Python;SQL Mechanical Engineering  No,Trading;Data analytics;Govt. Job;Data scientist,Data Visualization skills( Power Bi/ Tableau );Python;SQL,,Mechanical Engineering,Data Scientist
Financial Analysis Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing Commerce  Sales manager Global and digital marketing  MBA,Financial Analysis,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Artistic/Creative Skills;Business Knowledge;Communication skills;Social Media Marketing,MBA,Commerce ,Sales & Marketing Executive
"Technology Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading Physics Student (Unemployed) QA QC in Plasic Products and Materials",Technology,"Accounting Skills, Active Listening, AI, Python, Critical Thinking, Programming, Product Knowledge, Creativity Skills, Team work, Excel, Logical Skills, Presentation Skills, Problem Solving skills, Observation Skills, Risk Managing, Reading",,Physics,Product Manager
Technology;Industires CAD/CAE(autocad/catia/ansys/proE/SeimensNX) Mechanical Engineering Mechanical Design Engineer catia,Technology;Industires,CAD/CAE(autocad/catia/ansys/proE/SeimensNX),,Mechanical Engineering,Mechanical Engineer
Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript Electronics and Communication Engineering Junior Software Engineer  DDIP Masters in Digital Electronics,Research;Sales/Marketing;Teaching;Technology;Web Designing;Content Writing;Data analytics;Digital marketing;Data scientist;Web development;Market reserach;Social media marketing;Gardening;Service;Design;Information Technology;Machine Learning;Excel,Programming Language skills;Analytical Skills;Communication skills;Leadership;Editing;Problem Solving skills;Designing skills;Writing skills;Machine Learning skills;Sales;Social Media Marketing;R;Python;Artificial Intelligence;SQL;Architecture;MATLAB;Good communication skills;Teaching;AWS;PHP;Programming Language C;Javascript,Masters in Digital Electronics ,Electronics and Communication Engineering,Sales & Marketing Executive
Data analytics Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python Statistics   Data science using R and Python  Statistics,Data analytics,Critical Thinking;Analytical Skills;Leadership;Problem Solving skills;Machine Learning skills;Python,Statistics ,Statistics ,Data Scientist
"IT field  Python, Java, SQL, Programming, Problem Solving skills Computer Science Engineering Mapping  No",IT field ,"Python, Java, SQL, Programming, Problem Solving skills",,Computer Science Engineering,Data Scientist
"Research, Technology Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication Information TechNAlogy Student (Unemployed) C, C++","Research, Technology","Active Listening, AI, ML, Python, Analytic Thinking, Editing, Creativity Skills, Team work, C++, Problem Solving skills, Mass Communication",,Information TechNAlogy,Machine Learning Engineer
Blockchain Artistic/Creative Skills Commerce   No,Blockchain,Artistic/Creative Skills,,Commerce ,Content Writer
Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL Industrial Engineering  Functional Consultant  No,Financial Analysis;Research;Trading;Understand human behaviour;Understand human body;Data analytics;Data scientist;Gardening,Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Civil & Criminal Law;Communication skills;Negotiation skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;Interpersonal skills;Python;SQL,,Industrial Engineering ,Data Scientist
"Technology;Supply Chain Analysis Business Knowledge;Negotiation skills;Product knowledge;Sales Mechanical Engineering Associate SCM  SAP SCM,  supply chain management",Technology;Supply Chain Analysis,Business Knowledge;Negotiation skills;Product knowledge;Sales,,Mechanical Engineering,Product Manager
Technology Designing skills High pressure die casting  Engineer Catia,Technology,Designing skills,,High pressure die casting ,Software Developer
"Financial Analysis Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance Accounting&Finance Company Secretary No Company Secretary Professional(
(The Institute of Company Secretaries of India)",Financial Analysis,Company Law;Company Secretarial Work;Due Diligence;Corporate Law;industrial and labour law;company law;Corporate Social Responsibility;Public Company Compliance;Statutory Compliances;Regulatory Compliance,"Company Secretary Professional(
(The Institute of Company Secretaries of India)",Accounting&Finance,Lawyer / Legal Associate
Research;Technology;Data analytics;Design Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills Computer Science Engineering  Programmer Analyst Trainee (PAT) No,Research;Technology;Data analytics;Design,Active Listening;Programming Language skills;Communication skills;Client management;Good communication skills,,Computer Science Engineering ,Data Scientist
Teaching;Technology;Web Designing Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation Computer Science Engineering Programmer MBA MBA,Teaching;Technology;Web Designing,Active Listening;Programming Language skills;Gathering Information;Mass Communication;Content creation,MBA,Computer Science Engineering,Management Professional
"Technology, Understand Human Behaviour, Understand Human Body Analytic Thinking, Gathering Informing, SQL, Risk Managing Information Technology Risk analyst  No Masters in Business Analytics","Technology, Understand Human Behaviour, Understand Human Body","Analytic Thinking, Gathering Informing, SQL, Risk Managing",Masters in Business Analytics,Information Technology,Business Analyst
Technology;Data analytics;Data scientist;All fields related to Data science. Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL Computer Science   Data Science Masters in Computer Science,Technology;Data analytics;Data scientist;All fields related to Data science.,Analytical Skills;Data Visualization skills( Power Bi/ Tableau );Python;SQL,Masters in Computer Science,Computer Science ,Data Scientist
Digital marketing;Market reserach Business Knowledge;Analytical Skills;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;SQL;Hospitality;HR;Excel Computer Science   No,Digital marketing;Market reserach,Business Knowledge;Analytical Skills;People management;Communication skills;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Writing skills;Data Visualization skills( Power Bi/ Tableau );Presentation Skills;SQL;Hospitality;HR;Excel,,Computer Science ,Data Scientist
"Teaching, Technology Analytic Thinking, Logical Skills, C++, Writing Mathematics Student (Unemployed) No Masters in Mathematics","Teaching, Technology","Analytic Thinking, Logical Skills, C++, Writing",Masters in Mathematics,Mathematics,Content Writer
Technology Active Listening;Negotiation skills Computer Applications Data Entry No,Technology,Active Listening;Negotiation skills,,Computer Applications,Data Scientist
"Technology Java, SQL, Programming Information Technology Student (Unemployed) No",Technology,"Java, SQL, Programming",,Information Technology,Software Developer
Software Job stack web development Electrical and Electronics Engineering Associate software engineer stack web development,Software Job,stack web development,,Electrical and Electronics Engineering,Web Developer
"All fields related to Data science.;Machine Learning;Sports Industry Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL Electrical and Electronics Engineering Data Scientist-Intern IBM machine Learning, Full Stack Development, AMCAT corporate communications PGDM in Data Science",All fields related to Data science.;Machine Learning;Sports Industry,Programming Language skills;Business Knowledge;Analytical Skills;Communication skills;Python;SQL,PGDM in Data Science,Electrical and Electronics Engineering,Data Scientist
Data scientist;Machine Learning Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java Computer Science Engineering Data Analyst  Power BI,Data scientist;Machine Learning,Programming Language skills;Data Visualization skills( Power Bi/ Tableau );Machine Learning skills;C++;R;Linux;Python;Artificial Intelligence;SQL;Java,,Computer Science Engineering,Data Scientist
Financial Analysis;Research;Sales/Marketing;Digital marketing Critical Thinking;Business Knowledge;Communication skills;Negotiation skills;Artificial Intelligence Accounting(business and management)   No,Financial Analysis;Research;Sales/Marketing;Digital marketing,Critical Thinking;Business Knowledge;Communication skills;Negotiation skills;Artificial Intelligence,,Accounting(business and management) ,Sales & Marketing Executive
Sales/Marketing Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing Sales and Marketing Regional Sales Manager No Masters in Business Administration,Sales/Marketing,Business Knowledge;People management;Communication skills;Product knowledge;Sales;Social Media Marketing,Masters in Business Administration,Sales and Marketing,Sales & Marketing Executive
"Product Life cycle Management, Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;
 Civil Engineering Product Manager Digital Marketing","Product Life cycle Management,","Agile Methodologies;Usability Testing;C++;Microsoft OfficeBentley InRoadsProduct Requirements;User Stories;Metrics;Product Management;Product Innovation;User Experience (UX);Research;Business Development;Digital Marketing;
",,Civil Engineering,Product Manager
"Technology 
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control Electrical and Electronics Engineering Engineer-Power Electronics Simulation and analysis of control algorithms for IGBT converters/inverters Masters in Power Electronics & Power Systems",Technology,"
Power Electronics;Simulink;Inverters;Matlab;PLC;Variable Frequency Drives;Switchgear;Industrial Control",Masters in Power Electronics & Power Systems,Electrical and Electronics Engineering,Electrical Engineer
"Technology;Data analytics Programming Language skills;People management;Communication skills;Editing;C++;SQL Computer science  Publishing executive C++, c sharp, fundamentals of project management Master in computer science",Technology;Data analytics,Programming Language skills;People management;Communication skills;Editing;C++;SQL,Master in computer science,Computer science ,Data Scientist
Web development Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information Computer Science Engineering  Senior software engineer No,Web development,Active Listening;Hardware skills;Programming Language skills;Critical Thinking;Gathering Information,,Computer Science Engineering ,Web Developer
Technology;Supply chain analysis Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL Computer Science Engineering Techno commercial No Master in marketing management,Technology;Supply chain analysis,Analytical Skills;Machine Learning skills;Python;Artificial Intelligence;SQL,Master in marketing management,Computer Science Engineering,Machine Learning Engineer
Financial Analysis;Data analytics;Home interior design;All fields related to Data science.;Construction;Construction Manegement;Project Management Gathering Information;People management;Communication skills;Problem Solving skills;Sales;Python;Javascript;construction management Civil Engineering   No,Financial Analysis;Data analytics;Home interior design;All fields related to Data science.;Construction;Construction Manegement;Project Management,Gathering Information;People management;Communication skills;Problem Solving skills;Sales;Python;Javascript;construction management,,Civil Engineering ,Data Scientist
